Factura	Fecha_Anno	Fecha_Mes	Fecha_Dia	FechaV_Anno	FechaV_Mes	FechaV_Dia	Cliente	Item	Cantidad	Moneda	Precio	Total	Almacen	Vendedor	TotalUSB	Impuesto	ImpuestoUSB	TipoCambio	Ganacia	GanaciaUSB
503532	2016	12	8	2017	1	8	C0350	300	12	CRC	232,75	2793	1	-1	5,0099999999999998	363,08999999999997	0,65000000000000002	1	9844800	17700
504288	2016	12	12	2016	12	12	C3124	300	6	CRC	245	1470	1	-1	2,6400000000000001	191,09999999999999	0,34000000000000002	1	5657400	10200
507677	2017	1	4	2017	3	4	C0184	284	3	CRC	63996	191988	1	-1	342,17000000000002	24958,439999999999	44,479999999999997	1	30444,779999999999	542600
515833	2017	2	15	2017	3	15	C0384	297	10	CRC	11995	119950	1	-1	211,59	15593,5	27,510000000000002	1	31330,560000000001	552700
517465	2017	2	22	2017	3	24	C3178	300	4	CRC	245	980	1	-1	1,72	127,40000000000001	0,22	1	3771600	0,66000000000000003
518704	2017	2	28	2017	4	29	C0361	284	3	CRC	63996	191988	1	-1	337,91000000000003	24958,439999999999	43,93	1	30444,779999999999	535800
529235	2017	4	24	2017	5	24	C2329	300	6	CRC	245	1470	1	-1	2,5899999999999999	191,09999999999999	0,34000000000000002	1	5657400	10000
531190	2017	5	3	2017	6	3	C3753	300	24	CRC	245	5880	1	-1	10,300000000000001	764,39999999999998	1,3400000000000001	1	2262,96	39700
535908	2017	5	20	2017	6	20	C3813	300	24	CRC	245	5880	1	-1	10,029999999999999	764,39999999999998	1,3	1	2262,96	38600
524857	2017	3	29	2017	4	29	C3639	300	6	CRC	245	1470	1	-1	2,6000000000000001	191,09999999999999	0,34000000000000002	1	5657400	10000
538911	2017	6	1	2017	7	1	C1577	300	20	CRC	245	4900	1	-1	8,4900000000000002	637	1,1000000000000001	1	1885,8	32600
539978	2017	6	7	2017	6	7	C3156	299	2	CRC	8344,1100000000006	16688,220000000001	1	-1	29	2169,4699999999998	3,77	1	2781,3600000000001	48300
541234	2017	6	13	2017	7	13	C2308	300	5	CRC	250,28999999999999	1251,45	1	-1	2,1699999999999999	162,69	0,28000000000000003	1	4979000	0,87
541417	2017	6	13	2017	7	13	C0151	297	2	CRC	11995	23990	1	-1	41,539999999999999	3118,6999999999998	5,4000000000000004	1	7391,29	128000
542606	2017	6	19	2017	7	19	C1914	297	2	CRC	11995	23990	1	-1	41,590000000000003	3118,6999999999998	5,4100000000000001	1	7391,2799999999997	128100
537750	2017	5	27	2017	5	27	C3815	300	30	CRC	271,13999999999999	8134,1999999999998	1	-1	13,85	1057,45	1,8	1	3612,9000000000001	61500
540958	2017	6	12	2017	7	12	C3042	297	1	CRC	11995	11995	1	-1	20,77	1559,3499999999999	2,7000000000000002	1	3695,6399999999999	64000
541171	2017	6	13	2017	9	13	C0232	297	3	CRC	11995	35985	1	-1	62,310000000000002	4678,0500000000002	8,0999999999999996	1	11086,93	191900
542804	2017	6	20	2017	7	20	C2329	284	2	CRC	57500	115000	1	-1	199,37	14950	25,920000000000002	1	17768,169999999998	308100
543024	2017	6	21	2017	8	21	C3831	300	6	CRC	250,28999999999999	1501,74	1	-1	2,6000000000000001	195,22999999999999	0,34000000000000002	1	5974800	10300
543024	2017	6	21	2017	8	21	C3831	300	6	CRC	250,28999999999999	1501,74	1	-1	2,6000000000000001	195,22999999999999	0,34000000000000002	1	5974800	10300
543140	2017	6	21	2017	7	21	C2110	297	1	CRC	11995	11995	1	-1	20,780000000000001	1559,3499999999999	2,7000000000000002	1	3695,6399999999999	64100
543243	2017	6	21	2017	7	21	C0837	297	3	CRC	11994,700000000001	35984,099999999999	1	-1	62,32	4677,9399999999996	8,0999999999999996	1	11086,030000000001	192000
543768	2017	6	23	2017	7	23	C1191	284	6	CRC	57500	345000	1	-1	597,51999999999998	44850	77,680000000000007	1	53304,519999999997	923200
523986	2017	3	24	2017	5	24	C1622	299	2	CRC	7800	15600	1	-1	27,620000000000001	2028	3,5899999999999999	1	1693,1400000000001	30000
555011	2017	8	22	2017	9	22	C2174	299	1	CRC	10378,25	10378,25	1	-1	17,969999999999999	1349,1700000000001	2,3399999999999999	1	3424,8200000000002	59300
555799	2017	8	24	2017	9	24	C0063	300	20	CRC	245	4900	1	-1	8,4900000000000002	637	1,1000000000000001	1	1885,8	32700
545030	2017	6	29	2017	7	29	C0151	297	2	CRC	11995	23990	1	-1	41,530000000000001	3118,6999999999998	5,4000000000000004	1	7391,29	127900
547648	2017	7	13	2017	8	13	C1698	300	60	CRC	245	14700	1	-1	25,559999999999999	1911	3,3199999999999998	1	5657,3900000000003	98400
557248	2017	8	31	2017	9	30	C0053	300	6	CRC	245	1470	1	-1	2,5499999999999998	191,09999999999999	0,33000000000000002	1	5657400	0,97999999999999998
566234	2017	10	13	2017	11	13	C1782	300	24	CRC	250	6000	1	-1	10,44	780	1,3600000000000001	1	2382,96	41500
567604	2017	10	19	2017	11	19	C3903	300	3	CRC	250	750	1	-1	1,3100000000000001	97,5	0,17000000000000001	1	2978700	0,52000000000000002
569224	2017	10	26	2017	10	26	C3440	300	1	CRC	250	250	1	-1	0,44	32,5	5,9999999999999998E-2	1	992900	0,17999999999999999
565599	2017	10	11	2017	11	11	C0603	300	100	CRC	250	25000	1	-1	43,299999999999997	3250	5,6299999999999999	1	9928,9899999999998	172000
559404	2017	9	12	2017	10	12	C0356	284	1	CRC	63996	63996	1	-1	110,22	8319,4799999999996	14,33	1	15380,09	264900
560152	2017	9	14	2017	10	14	C3285	300	12	CRC	245	2940	1	-1	5,0700000000000003	382,19999999999999	0,66000000000000003	1	1131,48	19500
571083	2017	11	5	2017	12	5	C2356	300	36	CRC	250	9000	1	-1	15,74	1170	2,0499999999999998	1	3574,4299999999998	62500
575737	2017	11	24	2017	12	24	C2321	300	5	CRC	250	1250	1	-1	2,2000000000000002	162,5	0,28999999999999998	1	4964500	0,87
572432	2017	11	10	2017	12	10	C2853	300	24	CRC	250	6000	1	-1	10,49	780	1,3600000000000001	1	2382,96	41700
572812	2017	11	13	2017	12	13	C0603	300	50	CRC	250	12500	1	-1	21,850000000000001	1625	2,8399999999999999	1	4964,4899999999998	86800
573244	2017	11	14	2017	12	14	C1640	300	6	CRC	250	1500	1	-1	2,6200000000000001	195	0,34000000000000002	1	5957400	10400
582508	2018	1	3	2018	1	3	C4035	300	1	CRC	250	250	1	-1	0,44	32,5	5,9999999999999998E-2	1	992900	0,17999999999999999
583824	2018	1	9	2018	2	9	C0876	300	6	CRC	250	1500	1	-1	2,6200000000000001	195	0,34000000000000002	1	5957400	10400
557950	2017	9	5	2017	10	5	C0356	300	48	CRC	245	11760	1	-1	20,300000000000001	1528,8	2,6400000000000001	1	4525,9099999999999	78100
586527	2018	1	23	2018	1	23	C4035	300	2	CRC	250	500	1	-1	0,87	65	0,11	1	1607800	0,28000000000000003
587672	2018	1	27	2018	2	27	C4056	299	1	CRC	10500	10500	1	-1	18,390000000000001	1365	2,3900000000000001	1	3546,5700000000002	62100
593172	2018	2	22	2018	3	22	C1514	297	2	CRC	12100	24200	1	-1	42,259999999999998	3146	5,5	1	1231,76	21500
593271	2018	2	22	2018	3	22	C0717	297	1	CRC	12100	12100	1	-1	21,129999999999999	1573	2,75	1	6158800	10700
593409	2018	2	23	2018	3	23	C3367	297	3	CRC	12100	36300	1	-1	63,399999999999999	4719	8,2400000000000002	1	1847,6300000000001	32300
593726	2018	2	26	2018	2	26	C3534	300	15	CRC	250	3750	1	-1	6,5499999999999998	487,5	0,84999999999999998	1	1205,8800000000001	21100
593883	2018	2	27	2018	3	27	C1834	297	1	CRC	12100	12100	1	-1	21,120000000000001	1573	2,75	1	6158800	10700
595337	2018	3	6	2018	4	6	C1472	297	1	CRC	12100	12100	1	-1	21,129999999999999	1573	2,75	1	6158800	10800
595606	2018	3	6	2018	4	6	C3486	297	1	CRC	12100	12100	1	-1	21,129999999999999	1573	2,75	1	6158800	10800
596043	2018	3	8	2018	4	8	C2127	300	40	CRC	225	9000	1	-1	15,74	1170	2,0499999999999998	1	2215,6799999999998	38800
597892	2018	3	16	2018	4	16	C1570	297	1	CRC	12100	12100	1	-1	21,289999999999999	1573	2,77	1	6158800	10800
598598	2018	3	20	2018	4	20	C1191	297	2	CRC	12463	24926	1	-1	43,829999999999998	3240,3800000000001	5,7000000000000002	1	1957,76	34400
600374	2018	4	2	2018	5	2	C3154	300	4	CRC	250	1000	1	-1	1,76	130	0,23000000000000001	1	3215700	0,56999999999999995
600731	2018	4	3	2018	5	3	C3486	297	1	CRC	12100	12100	1	-1	21,260000000000002	1573	2,7599999999999998	1	6158800	10800
598641	2018	3	20	2018	4	20	C2174	297	2	CRC	12100	24200	1	-1	42,549999999999997	3146	5,5300000000000002	1	1231,76	21600
598661	2018	3	20	2018	4	20	C0401	297	1	CRC	12100	12100	1	-1	21,280000000000001	1573	2,77	1	6158800	10900
598990	2018	3	21	2018	4	21	C3417	297	1	CRC	12100	12100	1	-1	21,300000000000001	1573	2,77	1	6158800	10800
603067	2018	4	12	2018	5	12	C3369	300	288	CRC	229,62719999999999	66132,630000000005	1	-1	116,31999999999999	8597,2399999999998	15,119999999999999	1	17285,549999999999	304100
603946	2018	4	17	2018	4	17	C3701	297	1	CRC	12100	12100	1	-1	21,329999999999998	1573	2,77	1	6158800	10900
601254	2018	4	5	2018	5	5	C0201	297	1	CRC	12100	12100	1	-1	21,260000000000002	1573	2,7599999999999998	1	6158800	10800
602345	2018	4	10	2018	5	10	C3544	297	1	CRC	12100	12100	1	-1	21,27	1573	2,77	1	6158800	10800
605909	2018	4	25	2018	5	25	C1472	297	1	CRC	12100	12100	1	-1	21,34	1573	2,77	1	6158800	10900
606903	2018	4	28	2018	5	28	C4069	300	10	CRC	260,94	2609,4000000000001	1	-1	4,5899999999999999	339,22000000000003	0,59999999999999998	1	9511200	16700
607517	2018	5	3	2018	6	3	C1075	297	2	CRC	12100	24200	1	-1	42,549999999999997	3146	5,5300000000000002	1	1231,75	21600
604306	2018	4	18	2018	5	18	C0983	297	2	CRC	12100	24200	1	-1	42,649999999999999	3146	5,54	1	1231,75	21800
607850	2018	5	4	2018	6	4	C0826	297	1	CRC	12100	12100	1	-1	21,280000000000001	1573	2,77	1	6158800	10800
