Factura;Dia;Fecha;DiaVence;FechaVence;Cliente;Producto;Cantidad;Moneda;Total;Almacén;Vendedor;TotalUSD;Impuesto;ImpuestoUSD;Tipo de cambio;Ganacia;GananciaUSD
FA 66964;8;jul-19;8;ago-19;2080;348;12;colones;21,443.40;1;-1;0;2,787.64;0;0;8,104.90;0
FA 67507;9;jul-19;9;ago-19;4455;347;1;colones;17,098.67;1;-1;0;2,222.83;0;0;3,804.27;0
FA 76733;22;ago-19;22;sep-19;319;345;10;colones;2,431.00;1;-1;0;0;0;0;1,505.18;0
FA 76733;22;ago-19;22;sep-19;319;344;10;colones;2,244.00;1;-1;0;0;0;0;1,217.54;0
FA 91000;23;oct-19;23;nov-19;591;309;3;colones;34,732.50;1;-1;0;4,515.23;0;0;11,975.85;0
FA 91001;23;oct-19;23;dic-19;369;328;3;colones;5,890.50;1;-1;0;0;0;0;3,317.35;0
FA 91304;23;oct-19;23;nov-19;856;336;6;colones;9,622.80;1;-1;0;0;0;0;5,613.10;0
FA 91305;23;oct-19;23;nov-19;856;328;6;colones;11,781.00;1;-1;0;0;0;0;6,634.70;0
FA 91509;24;oct-19;24;nov-19;319;325;3;colones;5,273.40;1;-1;0;0;0;0;2,967.66;0
FA 91509;24;oct-19;24;nov-19;319;328;3;colones;5,890.50;1;-1;0;0;0;0;3,317.35;0
FA 91572;24;oct-19;24;nov-19;2225;336;12;colones;19,245.60;1;-1;0;0;0;0;11,226.20;0
FA 92030;28;oct-19;28;nov-19;950;341;6;colones;1,458.60;1;-1;0;0;0;0;7.587.200;0
FA 92160;28;oct-19;28;nov-19;362;338;200;colones;14,960.00;1;-1;0;0;0;0;6,248.02;0
FA 92200;28;oct-19;28;nov-19;1640;336;4;colones;6,415.20;1;-1;0;0;0;0;3,742.07;0
FA 502306;2;dic-16;2;mar-17;283;339;300;colones;38,880.00;1;59;0;5,054.40;0;0;8,325.37;0
FA 502360;4;dic-16;25;nov-16;1291;356;1;colones;11,265.00;1;-1;0;0;0;0;1,817.54;0
FA 502360;4;dic-16;25;nov-16;1291;377;1;colones;12,765.00;1;-1;0;0;0;0;1,848.71;0
FA 502453;5;dic-16;5;ene-17;828;329;12;colones;12,300.60;1;-1;0;0;0;0;5,354.21;0
FA 502616;5;dic-16;5;feb-17;910;329;120;colones;101,400.00;2;-1;0;0;0;0;27,880.07;0
FA 502703;6;dic-16;6;ene-17;584;376;10;colones;49,950.00;1;-1;0;0;0;0;10,313.64;0
FA 502791;6;dic-16;6;ene-17;419;344;6;colones;1,162.80;1;-1;0;151.16;0;0;6.336.100;0
